ACTUAL	CHEFLIEU	CDC	RANG	REG	DEP	COM	AR	CT	MODIF	POLE	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR	ARTICLCT	NCCCT	MOD	MANIP
1	0	0		25	14	750	3	29	1		0		VIEUX-PONT-EN-AUGE		Vieux-Pont-en-Auge		Saint-Pierre-sur-Dives	10	M
1	0	0		54	16	002	3	24	1		4	(LES)	ADJOTS	(Les)	Adjots		Ruffec	42	M
1	1	0		54	16	005	3	01	1		1		AIGRE		Aigre		Aigre	42	M
1	0	0		54	16	017	2	23	1		1		ANVILLE		Anville		Rouillac	42	M
1	0	0		54	16	023	3	18	1		1		AUNAC		Aunac		Mansle	42	M
1	0	0		54	16	027	3	01	1		0		BARBEZIERES		Barbezières		Aigre	42	M
1	0	0		54	16	031	3	24	1		0		BARRO		Barro		Ruffec	42	M
1	0	0		54	16	033	3	18	1		0		BAYERS		Bayers		Mansle	42	M
1	0	0		54	16	039	3	29	1		0		BERNAC		Bernac		Villefagnan	42	M
1	0	0		54	16	042	3	01	1		0		BESSE		Bessé		Aigre	42	M
1	0	0		54	16	043	2	23	1		0		BIGNAC		Bignac		Rouillac	42	M
1	0	0		54	16	044	3	24	1		0		BIOUSSAC		Bioussac		Ruffec	42	M
1	0	0		54	16	051	2	23	1		0		BONNEVILLE		Bonneville		Rouillac	42	M
1	0	0		54	16	059	3	29	1		0		BRETTES		Brettes		Villefagnan	42	M
1	0	0		54	16	068	3	18	1		0		CELLEFROUIN		Cellefrouin		Mansle	42	M
1	0	0		54	16	069	3	18	1		0		CELLETTES		Cellettes		Mansle	42	M
1	0	0		54	16	083	3	01	1		0		CHARME		Charmé		Aigre	42	M
1	0	0		54	16	094	3	18	1		0		CHENOMMET		Chenommet		Mansle	42	M
1	0	0		54	16	095	3	18	1		0		CHENON		Chenon		Mansle	42	M
1	0	0		54	16	098	3	29	1		3	(LA)	CHEVRERIE	(La)	Chèvrerie		Villefagnan	42	M
1	0	0		54	16	104	3	24	1		0		CONDAC		Condac		Ruffec	42	M
1	0	0		54	16	109	2	23	1		0		COURBILLAC		Courbillac		Rouillac	42	M
1	0	0		54	16	110	3	29	1		0		COURCOME		Courcôme		Villefagnan	42	M
1	0	0		54	16	114	3	24	1		0		COUTURE		Couture		Ruffec	42	M
1	0	0		54	16	122	3	01	1		1		EBREON		Ébréon		Aigre	42	M
1	0	0		54	16	127	3	29	1		1		EMPURE		Empuré		Villefagnan	42	M
1	0	0		54	16	136	3	29	1		3	(LA)	FAYE	(La)	Faye		Villefagnan	42	M
1	0	0		54	16	140	3	18	1		0		FONTCLAIREAU		Fontclaireau		Mansle	42	M
1	0	0		54	16	141	3	18	1		0		FONTENILLE		Fontenille		Mansle	42	M
1	0	0		54	16	142	3	29	1		3	(LA)	FORET-DE-TESSE	(La)	Forêt-de-Tessé		Villefagnan	42	M
1	0	0		54	16	144	3	01	1		0		FOUQUEURE		Fouqueure		Aigre	42	M
1	0	0		54	16	148	2	23	1		0		GENAC		Genac		Rouillac	42	M
1	0	0		54	16	155	3	01	1		4	(LES)	GOURS	(Les)	Gours		Aigre	42	M
1	0	0		54	16	156	2	23	1		0		GOURVILLE		Gourville		Rouillac	42	M
1	0	0		54	16	173	3	18	1		0		JUILLE		Juillé		Mansle	42	M
1	0	0		54	16	184	3	18	1		0		LICHERES		Lichères		Mansle	42	M
1	0	0		54	16	185	3	01	1		0		LIGNE		Ligné		Aigre	42	M
1	0	0		54	16	189	3	29	1		0		LONDIGNY		Londigny		Villefagnan	42	M
1	0	0		54	16	190	3	29	1		0		LONGRE		Longré		Villefagnan	42	M
1	0	0		54	16	191	3	18	1		0		LONNES		Lonnes		Mansle	42	M
1	0	0		54	16	194	3	01	1		0		LUPSAULT		Lupsault		Aigre	42	M
1	0	0		54	16	196	3	18	1		0		LUXE		Luxé		Mansle	42	M
1	0	0		54	16	197	3	29	1		3	(LA)	MAGDELEINE	(La)	Magdeleine		Villefagnan	42	M
1	1	0		54	16	206	3	18	1		0		MANSLE		Mansle		Mansle	42	M
1	0	0		54	16	207	2	23	1		0		MARCILLAC-LANVILLE		Marcillac-Lanville		Rouillac	42	M
1	0	0		54	16	208	2	23	1		0		MAREUIL		Mareuil		Rouillac	42	M
1	0	0		54	16	221	2	23	1		0		MONS		Mons		Rouillac	42	M
1	0	0		54	16	228	2	23	1		0		MONTIGNE		Montigné		Rouillac	42	M
1	0	0		54	16	229	3	29	1		0		MONTJEAN		Montjean		Villefagnan	42	M
1	0	0		54	16	237	3	18	1		0		MOUTON		Mouton		Mansle	42	M
1	0	0		54	16	238	3	18	1		0		MOUTONNEAU		Moutonneau		Mansle	42	M
1	0	0		54	16	242	3	24	1		0		NANTEUIL-EN-VALLEE		Nanteuil-en-Vallée		Ruffec	42	M
1	0	0		54	16	248	3	01	1		1		ORADOUR		Oradour		Aigre	42	M
